"Item","Description","Quantity","Cost","BranchCost","Price"
"GRAPHICS CARD:POWERCOLOR RED DRAGON RX550 4GB","POWERCOLOR RED DRAGON PC AXRX550 4GBD5-DH I 4GB DDR5 I SINGLE FAN I 128BIT I 2 YEARS WARRANTY 1 ...",0,7918.00,8709.8,9105.70
"GRAPHICS CARD:RTX3070 ASUS TUF OC 8GB","ASUS TUF RTX3070 OC I 8GB GDDR6 I AURA SYNC I TRIPPLE FAN I 256BIT| RECOMMENDED PSU 750W | 1 YEA...",0,46731.00,54645.80,54645.80
"GRAPHICS CARD:RTX3070 GAMING OC 8GB GIGABYTE","GIGABYTE GV-N3070GAMING OC-8GD GEFORCE RTX 3070 GAMING OC 8GB PCIE 4.0 256BIT, 1815 MHZ CLOCK | ...",0,68400.00,78000.00,78000.00
"HDD:1TB SEAGATE BARRACUDA","SEAGATE 1TB ST1000DM010 BARACUDA 7200 SATA 3.5 HDD | 15 MOS WARRANTY | 1MONTH REPLACEMENT | NO B...",0,1961.00,2157.1,2647.35
"HDD:1TB TOSHIBA","TOSHIBA PC P300 1TB 7200RPM 84MB SATA",0,1859.00,2044.9,2509.65
"HDD:500GB HITACHI DISTRO","500 GB  HITACHI DESKTOP DISTRO 3.5 SATA  | 1 YEAR WARRANTY",0,1050.00,1155,1417.50
"HDD:500GB SEAGATE DISTRO","500GB SEAGATE DISTRO 3.5/ 7200RPM | 6 MONTHS WARRANTY",1,1150.00,1265,1552.50
"HDD:500GB SEAGATE PIPELINE","500GB SEAGATE ST3500414CS INTERNAL HDD PIPELINE | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",2,603.00,663.3,862.29
"HDD:500GB WESTERN DIGITAL","500GB WD WD500AAJS 3.5 DISTRO SATA HDD 7200RPM | 6 MONTHS WARRANTY",0,990.00,1089,1386.00
"HDD:500GB WESTERN DIGITAL GREEN","500GB WD WD5000AUDX | 5900 RPM 32 MB 3.5 SATA  |3 MONTHS WARRANTY | 1 3 DAYS OUTRIGHT REPLACEMENT",23,682.00,723.8,940.94
"HEADPHONES:A4TECH HEADSET HS-28","A4TECH HEADSET HS-28 COMFORT FIT BLACK",0,409.00,449.9,593.05
"HEADPHONES:A4TECH HEADSET HS-7P","A4TECH HEADSET HS-7P COMFORT FIT STEREO HEADSET JACK PLUG",0,365.00,401.5,547.50
"HEADPHONES:INPLAY H2","INPLAY H2 RGB HEADSET | 3 MONTHS WARRANTY ONLY",2,157.00,172.7,235.50
"HEADPHONES:INPLAY HN620 NOISE CANCELLING","INPLAY HN620 NOISE CANCELLING | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",0,567.00,623.7,810.81
"HEADPHONES:INTELLIGENT H-08INT","INTELLIGENT H-08INT HEADSET | 1 MONTH WARRANTY",1,240.00,264,360.00
"HEADPHONES:RAKK DAGUOB RED","RAKK DAGUOB RED ILLUMINATED GAMING HEADSET | 1 MONTH WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ONLY",0,390.00,429,585.00
"HEADPHONES:REDRAGON H120 ARES","REDRAGON ARES H120 GAMING HEADSET | HIGHLY ADJUSTABLE NOISE CANCELLING MICROPHONE FOR OPTIMIZED ...",7,360.00,396,540.00
"KEYBOARD:A4TECH KRS-83 BLACK","A4TECH KRS-83 USB BLACK NATURAL A KEYBOARD",4,380.00,418,570.00
"KEYBOARD:ABKO K550 RGB MECHANICAL","ABKO K550 RGB MECHANICAL KEYBOARD",0,1800.00,1980,2430.00
"KEYBOARD:DELUX GAME TITAN T9U","DELUX GAME TITAN T9U WIRED SINGLE HAND GAMING KEYPAD BLUE COLOR BACKLIGHT | 15 DAYS WARRANTY | 1...",0,893.00,982.3,1250.20
"KEYBOARD:DELUX T9X WIRED MECHANICAL","DELUX T9X WIRED MECHANICAL SINGLE HANDED GAMING KEYPAD 4 MACRO SIDE KEYS | 1 YR WTY | 15 DAYS OU...",0,1733.00,1906.3,2339.55
"KEYBOARD:HP GK400Y KEYBOARD","HP GK400Y RAINBOW BACKLIT (SILVER) MECHANICAL GAMING KEYBOARD | 6 MONTHS WARRANTY | 1 WEEK OUTRI...",0,1404.00,1544.4,1895.40
"KEYBOARD:MSI VIGOR GK60 CR","MSI VIGOR GK60 CR CHERRY MX RED SWITCH GAMING KEYBOARD | 1 YR WTY | 1 WEEK REPLACEMENT",1,4095.00,4422.6,4832.10
"KEYBOARD:PENBLE PB-5000","PENBLE PB-5000 | 19 KEYS NO CONFLICT RED LED GAMING KEYBOARD W/ METAL PANEL SIDE",1,380.00,418,570.00
"KEYBOARD & MOUSE:A4TECH KRS-8372 PS2 COMBO","A4TECH KRS-8372 PS2 COMBO | 9 MONTHS WARRANTY",0,550.00,605,786.50
"KEYBOARD & MOUSE:BLACK IT&T KEYBOARD/MOUSE BUNDL","DD-959 BLACK IT&T DD-959 KEYBOARD AND MOUSE COMBO WITH LED I BLACK I  1 MONTH WARRANTY | 1 WEEK ...",3,264.00,290.4,396.00
"KEYBOARD & MOUSE:DELUX K6005U+M331BU","DELUX K6005U+M331BU OFFICE KEYBOARD AND MOUSE BUNDLE | LASER GRAVED | 15 DAYS WARRANTY | 3 DAYE ...",0,312.00,343.2,468.00
"KEYBOARD & MOUSE:INPLAY STX200","INPLAY STX200 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT | 3 MONTHS WARRANTY 1 WEEK OUTRIGHT RE...",2,219.00,240.9,328.50
"KEYBOARD & MOUSE:INPLAY STX240 BLACK  RGB COMBO","INPLAY STX 240 BLACK COMBO | KEYBOARD, MOUSE, HEADSET | 1 MONTH WARRANTY | 3 DAYS OUTRIGHT REPLA...",1,439.00,482.9,636.55
"KEYBOARD & MOUSE:INPLAY STX360","INPLAY STX360 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT | 3 MONTHS WARRANTY 1 WEEK OUTRIGHT RE...",7,258.00,283.8,387.00
"KEYBOARD & MOUSE:INPLAY STX520 DARK KNIGHT","INPLAY STX520 DARK KNIGHT | SUSPENSION KEYCAPESS | WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT |...",0,405.00,445.5,587.25
"KEYBOARD & MOUSE:INPLAY STX540 BLACK","INPLAY STX540 BLACK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",0,968.00,1064.8,1355.20
"KEYBOARD & MOUSE:INPLAY STX540 PINK","INPLAY STX540 PINK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAME...",0,1027.40,1130.14,1386.99
"KEYBOARD & MOUSE:INPLAY STX540 WHITE","INPLAY STX540 WHITE 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",0,1027.40,1130.14,1386.99
"KEYBOARD & MOUSE:KEYTECH K-516 RAINBOW BACKLIGHT","KEYTECH K-516 RAINBOW BACKLIGHT | 9 MONTHS WARRANTY",0,350.00,385,525.00
"KEYBOARD & MOUSE:NEUTRON C-23 COMBO","NEUTRON C-23 COMBO USB 2.0 KEYBOARD & MOUSE | 9 MONTHS WARRANTY",8,380.00,418,551.00
"KEYBOARD & MOUSE:OFFICE DAZZLE G21 FASHION","G21 FASHION OFFICE DAZZLE COLOR USB COMBO KEYBOARD & MOUSE",0,300.00,330,450.00
"KEYBOARD & MOUSE:RAKK APTAS V2 KEYBOARD & MOUSE","RAKK APTAS V2  KEYBOARD & MOUSE USB BUNDLE | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ONLY",1,363.00,399.3,526.35
"KEYBOARD & MOUSE:REDRAGON S101-3","REDRAGON S101-3 WIRED GAMING KEYBOARD & MOUSE COMBO W/ RGB BACKLIGHT",3,900.00,990,1260.00
"KEYBOARD & MOUSE:REDRAGON S101-BA","REDRAGON S101- BA - 2 KEYBOARD + MOUSE + HEADSET + MOUSEPAD",0,1610.00,1771,2173.50
"KEYBOARD & MOUSE:REDRAGON S107","REDRAGON S107 3 IN 1 GAMING ESSENTIALS KEYBOARD MOUSE AND MOUSEPAD",0,1050.00,1155,1417.50
"KMHM BUNDLE","KEYBOARD/ MOUSE/ HEADSET/ MOUSE PAD",0,650.00,929.50,929.50
"KMHM BUNDLE:4 IN 1 CLEVER BUNDLE","4 IN 1 FUZION KEYBOARD/ MOUSE/ HEADSET/ MOUSE PAD BUNDLE | CP01 | 1 MONTH WARRANTY | 3 DAYS REPL...",4,650.00,715,929.50
"MONITOR:18.5"" 65HZ G1850HD GOMA LED","GOMA G1850HD 18.5"" LED MONITOR | 65HZ FLAT | 5MS | HDMI, VGA | 1 YEAR WARRANTY 1 WEEK OUTRIGHT R...",1,2185.00,2403.5,2949.75
"MONITOR:18.5"" HP P19B G4 LED","HP 18.5"" P19B G4 LED DIAGONAL WXGA | 1366X768 | 16:9 | 5MS | HDMI, VGA | ANTI-REFLECTIVE | BLUE ...",0,2968.00,3264.8,3858.40
"MONITOR:19"" KINGDOM 1901F LED","19"" KINGDOM LED Kingdom1901F 1366 * 768P HD 60Hz 4ms 16.7m 16:9",0,2250.00,2475,3037.50
"MONITOR:19"" NVISION N190 LED","NVISION N190 19"" LED | 1400X900 | 60HZ | 80/80/80/80 | 5MS | TN | 250CD/M2/ 1 YEAR WARRANTY | 1 ...",0,2142.00,2356.2,2784.60
"MONITOR:19"" PROVISION LED MONITOR","PROVISION D01LED19H 19"" LED MONITOR I W/HDMI I 1920X1080 I VGA,HDMI | 6 MONTHS WARRANTY | 1 WEEK...",2,2033.00,2236.3,2744.55
"MONITOR:20"" NVISION N200 HD","NVISION N200 HD 20"" HDMI/VGA LED MONITOR 1400 x 900 WALLMOUNTABLE 1 YEAR WARRANTY | 1 WEEK OUTRI...",1,1975.00,2172.5,2666.25
"MONITOR:21.5"" FUZION WIDE LED SCREEN 75","21.5"" FUZION WIDE LED SCREEN 75HZ..(FN-22EL) 6 MONTHS WARRANTY|  3 DAYS REPLACEMENT ONLY",0,3225.00,3547.5,4031.25
"MONITOR:21.5"" PHILIPS - BLACK MONITOR","PHILIPS 221V9/93 BLACK 21.5"" FULL HD 1920 X 1080 | FRAMELESS | HDMI | WVA | LOW BLUE MODE | 6 MO...",0,4556.00,4966.04,5376.08
"MONITOR:22"" GOMA LED MONITOR","GOMA G2150HD 22"" LED MONITOR I TN PANEL I VGA,HDMI I 1920X1080FHD",5,3210.00,3531,4012.50
"MONITOR:22"" VIEW SONIC VA2223-H","VIEWSONIC VA2223-H 22"" 1080P HDMI AND VGA INPUT VESA MOUNTABLE | 1 YEAR WARRANTY | 1 WEEK OUTRIG...",2,4515.00,4876.2,5327.70
"MONITOR:24"" DELL P2419H","DELL P2419H 24"" 1920 X 1080 AT 60HZ MONITOR BUILT WITH AN ULTRATHIN BEZEL DESIGN | 1 YR WTY | 1 ...",0,10250.00,10762.5,11685.00
"MONITOR:24"" IPS FUZION WIDE LED 75HZ","24"" IPS FUZION WIDE LED 75HZ..(FN-24EL) 6 MONTHS WARRANTY | 3 DAYS REPLACEMENT ONLY",0,4200.00,4620,4956.00
"MONITOR:24"" NOVUS LED MONITOR","NOVUS 24UMPH 24 INCH LED MONITOR | FRAMELESS | 60HZ | LED 1920X1080 | MOUNTABLE /VGA, HDMI | 6 M...",0,5140.00,5551.2,5962.40
"MONITOR:24"" NVISION GT24MV IPS 24"" FLAT","NVISION GT24MV IPS 24"" FLAT 144HZ FHD GAMING MONITOR | 1920 X 1080 | 5MS/HDMI, DP, USB/ FREESYNC...",0,6933.00,7487.64,8042.28
"MONITOR:24"" NVISION IP24V1 IPS","NVISION 24"" IP2V1 IPS | 1920X1080 FHD | 75HZ | 23.8"" | 5MS | 300CD/M2 | 3000:1 | 1 YEAR WARRANTY...",0,5187.00,5601.96,6016.92
"MONITOR:24"" NVISION XC24C BLK","NVISION XC24C 24"" BLACK 75Hz CURVED 3000R GAMING MONITOR / 1 YEAR WARRANTY",2,4301.00,4642.92,5075.18
"MONITOR:24"" NVISION XC24S V3 BLK","NVISION 24"" XC24S V3 CURVED BLACK | 1920X1080 FHD | 75HZ | 5MS | 3000R | HDMI, VGA | VERSION 3 |...",0,4299.00,4642.92,5072.82
"MONITOR:24"" NVISION XC24S WHITE","NVISION XC24S 24"" White 75Hz Curved 3000R GAMING MONITOR | 1 YEAR WARRANTY | 1 WEEK OUTRIGHT REP...",0,4010.00,4330.8,4731.80
"MONITOR:24"" QNIX CURVED WHITE","24"" QNIX CURVED WHITE 75 Hz  HDR MONITOR (WHITE) WITH SPEAKER | 1 YEAR WARRANTY",0,5400.00,5832,6264.00
"MONITOR:24.5"" GIGABYTE AORUS","GIGABYTE AORUS GP-KD25F-AP 24.5IN 1920X1080 240HZ FREESYNC/GSYNC MONITOR | 1 YR WTY | 1 WEEK REP...",0,28325.00,29458,31440.75
"MONITOR:27"" MSI OPTIX G27C5 CURVED","MSI OPTIX G27C5 CURVE MONITOR/ 1500r/ 165HZ/178 DEGREES WIDE ANGLE / ADJUSTABLE STAND",1,13000.00,13650,14820.00
"MONITOR:27"" NVISION IN27C18 CURVED","NVISION IN27C18 CURVE 75HZ 27"" WHITE MONITOR/ 1 YEAR WARRANTY",0,6933.00,7487.64,8042.28
"MOTHERBOARD:A320M ASROCK HDV","ASROCK A320M-HDV | SOCKET AM4 | DDR4 3200+ (OC) (RYZEN CPU) / 2400 (A-SERIES APU) | HDMI, DVI-D,...",0,2600.00,2860,3380.00
"MOTHERBOARD:A320M BIOSTAR","BIOSTAR A320MH SOCKET AM4 | 1 YEAR WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",1,2387.00,2625.7,3103.10
"MOTHERBOARD:A320M COLORFUL PRO YV14","COLORFUL A320M-K PRO YV14 | AM4 | DUAL DDR4 | 1*HDMI & VGA | UEFI BIOS | 4*USB 3.0 | 1 YEAR WARR...",0,2378.00,2615.8,3091.40
"MOTHERBOARD:A320M EMAXX","EMAXX EMX - A320M GAMING AMD A320 CHIPSET, 2XDDR4 UP TO 2667+ ONBOARD 8 CHANNEL HD AUDIO",0,2350.00,2585,3055.00
"MOTHERBOARD:A320M GIGABYTE","GIGABYTE GA - A320MH | 1 YEAR WARRANTY",0,3050.00,3355,3812.50
"MOTHERBOARD:A320M GIGABYTE S2H","GIGABYTE A320M-S2H | AM4 | DUAL DDR4 | HDMI, DVI-D, D-SUB | 1*M.2 | SUPPORTS RYZEN & ATHLON SERI...",2,2500.00,2750,3250.00
"MOTHERBOARD:A320M GIGABYTE S2H V2","GIGABYTE GA - A320M - S2H V2  AMD AM4 2-CH/ PCI-EX 16/ MICRO ATX USB 3.1 GEN 1/m.2 SOCKET 3 HD A...",1,2525.00,2777.5,3282.50
"MOTHERBOARD:A320M MSI A-PRO","MSI A320M-A PRO SUPPORTS 1ST, 2ND, 3RD GEN /AMD RYZEN/ AMD A320 CHIPSET| 1 YEAR WARRANTY 1 MONTH...",0,2224.00,2446.4,3002.40
"MOTHERBOARD:A320M MSI PRO-E","MSI A320M PRO-E AMD SOCKET AM4 MOTHERBOARD",1,2415.00,2656.5,3139.50
"MOTHERBOARD:A320M MSI PRO-VH PLUS","MSI A320M PRO - PLUS SOCKET AM4 DDR4 MOTHERBOARD | 1 YEAR WARRANTY | 15 DAYS OUTRIGHT REPLACEMENT",12,2541.00,2795.1,3303.30
"MOTHERBOARD:B365M GIGABYTE D3H INTEL BASE","GIGABYTE B365M D3H INTEL BASE MOTHERBOARD | 1 YR WTY | 1 WEEK OUTRIGHT REPLACEMENT",0,4264.00,4605.12,5031.52
"MOTHERBOARD:B365M MSI MAG MORTAR","MSI MAG B365M MORTAR INTEL B365 CHIPSET MOTHERBOARD | 1 YR WTY | 1 WEEK OUTRIGHT REPLACEMENT",0,4524.00,4885.92,5338.32
"MOTHERBOARD:B450I MSI GAMING PLUS AC","MSI B450I GAMING PLUS AC/AM4/ DP, HDMI/ MINI ITX / 1 YEARS WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",1,6188.00,6683.04,7178.08
"MOTHERBOARD:B450M ASUS PRIME A 2","ASUS B450 PRIME B450M-A || AM4 DDR4 32MB BIOS MICRO ATX/ AURA SYNC/ 1 YEAR WARRANTY 1 WEEK OUTRI...",0,4033.00,4355.64,4758.94
"MOTHERBOARD:B450M ASUS TUF PRO","ASUS B450M - PRO TUF GAMING MOTHERBOARD",0,6010.00,6490.8,6971.60
"MOTHERBOARD:B450M COLORFUL BATTLE-AX V14","COLORFUL B450M-HD BATTLE-AX V14 | AM4 | DUAL DDR4 | HDMI, DVI-D, D-SUB | 1*M.2 | MICRO-ATX | 1 Y...",3,4070.00,4070,4884.00
"MOTHERBOARD:B450M GIGABYTE AORUS ELITE","GIGABYTE GA - B450 AORUS ELITE",1,6550.00,7074,7598.00
"MOTHERBOARD:B450M GIGABYTE AORUS M","GIGABYTE B450 AORUS M | AM4 | 4*DDR4 2-CH | 1*M.2 | HDMI, DVI-D | SUPPORTS RYZEN & ATHLON SERIES...",1,7074.00,7074,8205.84
"MOTHERBOARD:B450M GIGABYTE AORUS PRO","GIGABYTE B450 AORUS PRO (GA-B450-AORUS-PRO) MATX GAMING MOTHERBOARD DUAL M.2 | 1 YEAR WARRANTY |...",2,6026.00,6508.08,6990.16
"MOTHERBOARD:B450M GIGABYTE AORUS PRO WIFI","GIGABYTE B450 AORUS PRO WIFI MATX GAMING AM4 DDR4 MOTHERBOARD | 1 YEAR WARRANTY | 1 MONTH..REPLA...",0,6552.00,7076.16,7600.32
"MOTHERBOARD:B450M GIGABYTE DS3H V2","GIGABYTE GA- B450M - DS3H- V2 SOCKET AM4 DDR4 MATX MOTHERBOARD |1 YEAR WARRANTY | 1 WEEK REPLACE...",5,3848.00,4232.8,4617.60
"MOTHERBOARD:B450M GIGABYTE S2H V2","GIGABYTE B450M S2H V2 AMD SOCKET AM4 2 DDR4 2-CH/ PCI-EX 16/MICRO ATX USB 3.1 GEN 1/ M.2 SOCKET ...",0,3925.00,4317.5,4631.50
"MOTHERBOARD:B450M MSI GAMING PRO CARBON MAX","MSI B450 GAMING PRO CARBON MAX WIFI | 1YEAR | 1WEEK OUTRIGHT REPLACEMENT ONLY",0,6448.00,6963.84,7479.68
"MOTHERBOARD:B450M MSI MORTAR MAX","MSI MORTAR MAX B450M SUPPORTS 1ST, 2ND, 3RD GEN AMD RYZEN | 2 YEARS WARRANTY | 1 MONTH OUTRIGHT ...",1,4742.00,5121.36,5595.56
"MOTHERBOARD:B450M MSI PRO-M2 MAX","MSI B450M PRO - M2 MAX SOCKET AM4 MOTHERBOARD",1,3889.60,3889.6,4667.52
"MOTHERBOARD:B450M MSI PRO-VDH MAX","MSI B450M PRO-VDH MAX | AM4 | PCI EXPRESS 3.0 | DVI-D, HDMI, VGA | 4*DDR4 DUAL CHANNEL UP TO 346...",0,3848.00,4232.8,4617.60
"MOTHERBOARD:B460M ASROCK STEEL LEGEND","ASROCK B460M STEEL LEGEND (90-MXBDQ0-A0UAYZ) / HDMI DISPLAYPORT GRAPHICS OUTPUT / 2 YEARS WARRAN...",1,5717.00,6174.36,6631.72
"MOTHERBOARD:B460M MSI PRO VHD WIFI","MSI B460 PRO - VHD WIFI INTEL� B460 CHIPSET MOTHERBOARD | 2 YEARS WARRANTY | 1 WEEK OUTRIGHT REP...",0,5148.00,5559.84,5971.68
"MOTHERBOARD:B550 GIGABYTE  GAMING X","GIGABYTE B550 GAMING X GAMING MOTHERBOARD | 1 YEAR WARRANTY | 1 WEEK REPLACEMENT",0,7384.00,8048.56,8491.60
"MOTHERBOARD:B550M ASUS PRIME A","ASUS PRIME B550M - A  (RYZEN AM4) MICRO ATX MOTHERBOARD WITH DUAL  M.2, PCLE 4.0, INTEL� WiFi 6 ...",1,7500.00,8100,8625.00
"MOTHERBOARD:B550M MSI MAG BAZOOKA","MSI MAG B550M BAZOOKA | AM4 | 4*DDR4-4400(OC) DUAL CHANNEL | 1*M.2 | NVME SSD READY | PCIE 4.0 R...",1,6798.00,7409.82,7885.68
"MOTHERBOARD:B550M MSI MAG MORTAR","MSI MAG B550M MORTAR AMD AM4 DDR4 CF LIGHTING SUPPORTS AMD RYZEN 5000 & 3000 SERIES DESKTOP PROC...",1,7956.00,9608.6,9149.40
"MOTHERBOARD:B550M MSI PRO-VDH WIFI","MSI B550M PRO-VDH WIFI MOTHERBOARD AM4 | 1 YEAR WARRANTY | 1 WEEK REPLACEMENT",1,6604.00,7198.36,7660.64
"MOTHERBOARD:B550M PLUS ASUS TUF GAMING","ASUS TUF GAMING B550M-PLUS B550 (Ryzen AM4) micro ATX gaming motherboard with PCIe 4.0, dual M.2...",0,8700.00,9309,10005.00
"MOTHERBOARD:FM2 ASROCK FM2FM2A68M-DG3+","ASROCK FM2A68M-DG3+ | FM2 100W | FM2+ 95W | A68H (BOLTON-D2H) | 2*DDR3 2400+(OC) | D-SUB, DVI-D ...",1,2258.00,2483.8,2935.40
"MOTHERBOARD:FM2 GIGABYTE F2A68HM-S1","Gigabyte GA-F2A68HM-S1 FM2+DDR3 USB3 Mother Board / 2 YRS WARRANTY/ 1 MONTH OUTRIGHT REPLACEMENT...",0,2258.00,2483.8,2935.40
"MOTHERBOARD:H310M-H GIGABYTE 2.0 INTEL","Gigabyte GA-H310M-H 2.0 Intel H310 Ultra Durable motherboard | 6 MONTHS WARRANTY | 1 MONTH REPLA...",4,2850.00,3135,3705.00
"MOTHERBOARD:H470M DS3H GIGABYTE","GIGABYTE H470M DS3H with M.2 slots LGA1200 | 2years warranty | 1week outright replacement only",0,6477.00,7513.32,7513.32
"MOTHERBOARD:X570 MSI MPG GAMING EDGE WIFI","MSI MPG X570 GAMING EDGE WIFI | SUPPORT 2ND AND 3RD GEN | UP TO 4400+(OC) MHz | RAINBOW LED STRI...",0,10404.00,11132.28,11860.56
"MOTHERBOARD:X570 MSI MPG GAMING PLUS","MSI MPG X570 GAMING PLUS | RYZEN 2ND AND 3RD GEN AMD RYZEN | DDR4 | MYSTIC LIGHT | RAINBOW LED S...",0,9588.00,10259.16,11026.20
"MOUSE:A4Tech OP-620 PS2 Optical Mouse","A4Tech OP-620 PS2 Optical Mouse",4,200.00,220,300.00
"MOUSE:MSI CLUTCH GM20 ELITE GAMING","MSI CLUTCH GM20 ELITE GAMING MOUSE ( S12-0400D00-C54) / RGB MYSTIC LIGHT / USB 2.0 / 1 YR WTY 1 ...",1,1155.00,1270.5,1559.25
"MOUSE:PENBLE PB-60 MOUSE","PB-60 PENBLE MOUSE  SUNPLUS 169A IC RED LED DPI 800-1200-2000-3200 5M TIMES LIFE TIME",1,220.00,242,330.00
"MOUSE:RAKK DASIG RGB GAMING MOUSE","RAKK DASIG RGB ILLUMINATED GAMING MOUSE | 6 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ONLY",0,499.00,548.9,723.55
"MOUSEPAD:ASSORTED MOUSEPAD","ASSORTED MOUSEPAD",17,12.00,13.2,18.00
"MOUSEPAD:COUGAR ARENA X PINK","COUGAR ARENA X PINK 100 X 400 X 5MM GAMING MOUSEPAD",0,977.00,1074.7,1367.80
"MOUSEPAD:INPLAY EXTENDED MOUSEPAD","INPLAY EXTENDED MOUSEPAD 800X300MM",0,185.00,203.5,277.50
"MOUSEPAD:INPLAY L11 MOUSEPAD","L11 MOUSE PAD / NO WARRANTY",9,28.00,30.8,42.00
"MOUSEPAD:MP-60R BLOODY MOUSEPAD","MP-60R BLOODY RGB GAMING MOUSEPAD SIZE 354MM(L) 256MM(W) 2.6MM(H) | 1 MONTH WARRANTY | 1 WEEK OU...",1,830.00,913,1162.00
"MOUSEPAD:MSI AGILITY GD20 GAMING","MSI AGILITY GD20 GAMING MOUSEPAD 320MM(L) X 220MM(W) X 5MM(H) | 3 MONTHS WTY 1 WEEK REPLACEMENT",1,425.00,467.5,616.25
"MOUSEPAD:RAZER BIG MOUSE PAD","RAZER BIG MOUSE PAD",0,40.00,44,65.00
"MOUSEPAD:RAZER SMALL MOUSE PAD","RAZER SMALL MOUSE PAD",-3,20.00,22,35.00
"POWER STRIP:3 SOCKETS HUNTKEY SZM304-4","HUNTKEY SZM304-4 3 SOCKETS 1.5 METERS POWER STRIP 6 MONTHS WARRANTY 1 WEEK REPLACEMENT",1,239.00,262.9,358.50
"POWER STRIP:4 SOCKETS HUNTKEY SZM404-4","HUNTKEY SZM404-4 4 SOCKET POWER EXTENSION POWER STRIP/ 7 Days Replacement/ 1 Months Warranty",0,343.00,377.3,514.50
"POWER STRIP:6 SOCKETS HUNTKEY SZM604-4","HUNTKEY SZM604-4 6 SOCKETS 2 METERS POWER EXTENSION",12,404.00,363.6,585.80
"POWER SUPPLY:450W TR 80+B CORSAIR","CORSAIR 450 WATTS 80+BRONZE CERTIFIED PSU / 1 Yr. Warranty",0,2500.00,2750,3250.00
"POWER SUPPLY:500W AVR SECURE","AVR SECURE 500W",7,193.00,212.3,289.50
